"","topics","Griffiths2004","CaoJuan2009","Arun2010","Deveaud2014"
"1",100,-1574583.27090102,0.0122616747980276,2036.55294466839,2.59326378432563
"2",99,-1571731.67186047,0.0152422057690907,2065.4292632354,2.57454336162184
"3",98,-1571666.34053185,0.0133953514812004,2053.48050370199,2.592442310731
"4",97,-1562188.39222031,0.0140297589993723,2067.90486175479,2.58820689903901
"5",96,-1565959.50876007,0.0137100028727587,2076.52138391902,2.5956302293633
"6",95,-1582474.84632386,0.0134638114640367,2076.98116683121,2.60657590281074
"7",94,-1576776.02826244,0.012327777449986,2078.79136598038,2.62429122008915
"8",93,-1563651.92141928,0.0134541881145956,2093.92300985134,2.61841878610859
"9",92,-1570288.67678509,0.0140231160344028,2105.63309235699,2.62452051868694
"10",91,-1576604.52305269,0.0130762070652888,2114.92502873619,2.63175696141792
"11",90,-1580248.69545212,0.013587801597495,2135.90174794449,2.62729294450594
"12",89,-1570833.15959481,0.0129888014122278,2132.0226794739,2.64609109928625
"13",88,-1567710.02134421,0.0123431628090644,2123.27751466235,2.66521329000663
"14",87,-1566150.58469129,0.014334669130141,2150.52919857569,2.6490684161158
"15",86,-1573660.12732975,0.0136751599216625,2151.25279407864,2.64177854782641
"16",85,-1574595.94323939,0.0132200357200583,2156.44555633753,2.6572165086884
"17",84,-1579426.77714163,0.0160871192620228,2195.50270058601,2.65429932821012
"18",83,-1580277.99220407,0.0138580219082657,2186.15411727876,2.66776084230076
"19",82,-1578767.9451541,0.0137463798751555,2193.46669055692,2.66176404796301
"20",81,-1578985.3161204,0.0156672410292414,2219.48484940473,2.68628331835552
"21",80,-1564512.17766943,0.0153173501673076,2220.62149323689,2.6777648133656
"22",79,-1583611.81453771,0.0145521306585056,2235.23251987419,2.69122427164167
"23",78,-1578412.75450231,0.0156221326454846,2242.83285951312,2.68288656039799
"24",77,-1586428.64576509,0.0143654502718664,2246.93639809775,2.69075021260074
"25",76,-1581841.98680741,0.0150627401891744,2260.20227923616,2.70466949922439
"26",75,-1583517.22265411,0.0161658759091094,2285.67226669148,2.69860945323863
"27",74,-1591191.75139484,0.0150357788645694,2290.81689524882,2.69800837270792
"28",73,-1582370.4043097,0.015615443529149,2305.00584661409,2.70960147592885
"29",72,-1588787.5219462,0.0161058680664876,2311.79722438911,2.70820588577934
"30",71,-1591783.59512178,0.0163270170768138,2332.43342324025,2.72406783520437
"31",70,-1598700.48323955,0.0169648780834857,2338.6553430852,2.72963560956074
"32",69,-1593808.19230423,0.0153419750079528,2342.47509400878,2.74263027238972
"33",68,-1594095.94871986,0.0158530125279264,2365.52475079838,2.73897153356102
"34",67,-1597807.45304541,0.0179360039691851,2385.46566677948,2.74068899289144
"35",66,-1599913.95294014,0.0161617759910037,2388.2869511731,2.72924750758738
"36",65,-1599768.42111983,0.0177646133721835,2408.06947512086,2.7482196371893
"37",64,-1597719.91574618,0.0175983745409208,2414.20821883073,2.74437290934812
"38",63,-1604057.97233561,0.0195038714427821,2452.09102286949,2.72129561616744
"39",62,-1607298.04478244,0.0184305398430032,2444.64480125994,2.75601005253726
"40",61,-1610595.63236069,0.0175894844121016,2463.64274030491,2.7564326702572
"41",60,-1609170.90955625,0.0172763120661113,2469.93897592549,2.76044466137307
"42",59,-1605281.23352252,0.0185840564963631,2489.11983435821,2.75199356125149
"43",58,-1618723.38378677,0.0201914926736479,2528.84497560668,2.77141322277401
"44",57,-1624715.47756996,0.0200636593206884,2530.90039806025,2.75203132101792
"45",56,-1612511.13266413,0.0180200078618475,2529.24089586109,2.78745978366197
"46",55,-1614228.19871766,0.020333866017718,2561.63044470095,2.77972372406547
"47",54,-1622365.40534758,0.023968924693604,2603.63419659575,2.74897460518814
"48",53,-1623094.83778013,0.0211397162873316,2598.12292984567,2.77059576972512
"49",52,-1623808.06282032,0.0220170870082969,2610.83201904545,2.77910397189412
"50",51,-1624220.59710144,0.0212856978424834,2629.40536017487,2.78844899287078
"51",50,-1631102.32190103,0.0230778403958506,2651.78011474153,2.7838616449002
"52",49,-1643857.21313323,0.0210664143066063,2657.34011723921,2.79333315210428
"53",48,-1643298.73301651,0.0229878101656272,2682.92298493466,2.78357019124391
"54",47,-1642472.22956883,0.024572604706308,2712.45925732754,2.76184965903385
"55",46,-1656187.47498851,0.0228582021020343,2717.95385303919,2.80901893945544
"56",45,-1664919.30128132,0.0246429730379436,2747.84418072254,2.78178923753847
"57",44,-1650472.39726971,0.0246753472564235,2778.15328353603,2.78902651311958
"58",43,-1657952.49376296,0.0251896419494724,2793.12845622914,2.79053198355842
"59",42,-1667269.79155331,0.0264235259488025,2817.84776118033,2.78882592934916
"60",41,-1659680.68210917,0.0273112148493111,2826.3045275046,2.79315872014756
